"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"4",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"5",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"7",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"8",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"9",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"10",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"11",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"12",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"13",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"14",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"15",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"16",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"17",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"18",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"19",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
