"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"4",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"5",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"6",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"7",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"8",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"9",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"10",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"11",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"12",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"13",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"14",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"15",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"16",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"17",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"18",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"19",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
