"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",5057,10648,16169,9499,5634,14297,17552,15622,13051,15578,8991,9765,1165,1819,488,8846,15078,15618,10689,112,12324,9621,6059,11822,5454,9392,16748,10551,10642,965,1543,5486,3258,6168,1593,12777,13986,15648,7020,3622,10148,5497,14264,8287,2368,9122,7561,16048,3827,9041,10606,13125,3229,13945,4608,18067,7687,10776,2683,16547,15040,9712,14061,7619,8065,7450,14214,9179,10030,10792,15896,3109,4281,12701,3605,18177,13658,2525,12764,8616,4043,1018,16300,13599,5140,14806,12721,1823,18866,15241,15515,1011,17444,13976,431,11049,6110,14974,15552,3264
"2",10731,11145,7966,10700,6803,7234,7052,12582,5870,5561,4616,8396,15748,16272,16729,15911,3151,15358,3973,13094,9188,14660,5577,4705,10654,12114,8431,16947,13131,11985,12056,17531,5695,3694,6428,16198,1483,16400,616,1785,14496,13269,3731,5417,10282,10658,4012,15897,9292,11087,12970,9145,10220,2572,289,514,16386,17006,8479,14767,18442,14117,12101,2569,16204,9027,5129,7196,949,9962,16270,5282,11890,17233,16269,5603,1461,3683,980,5518,11145,18347,1740,2945,17812,13646,2838,18773,13588,7002,8574,5899,16303,15590,601,14801,12456,13996,3342,7316
"3",11118,7938,5503,7667,13240,3970,13502,6869,16203,1123,18370,1457,16504,7442,16354,4044,4738,7939,13008,15054,13624,17492,7929,3667,13670,1018,14347,12765,5030,13371,13427,3181,4571,14097,3951,15158,11578,99,2164,10646,1854,7556,13909,8860,1437,10322,13506,10268,4959,17518,153,9203,5013,7958,8432,10163,17904,7968,7741,17947,17928,5501,14122,8022,14680,17582,1343,14794,15380,7088,6391,10991,8198,12420,6851,18598,12943,1453,3468,17572,12829,11083,12885,6520,4747,4444,14103,13346,12018,1096,17530,3602,5938,2700,16479,3821,2287,9442,15124,13006
"4",16689,13573,15260,10811,7599,17344,1312,7047,6185,4702,149,15182,6118,1773,15187,7964,15839,13167,2486,16044,10351,14031,17059,10093,15097,17288,14634,8149,18750,7508,3253,12276,15151,4888,11166,1766,8200,8202,9540,11099,3633,11354,3789,16548,4587,541,8201,11224,2007,18638,13234,15352,9569,11817,9640,9238,2749,380,12132,937,848,16615,1552,15470,10292,670,15895,6761,2648,255,4570,11446,6651,2252,18942,16621,3339,17545,10876,15376,6110,653,14213,12398,16685,11138,1649,12745,12024,15828,7039,14097,18520,13379,12979,5375,17886,18935,12317,9090
"5",18651,15289,8119,6033,12060,18899,16600,5075,6156,6009,16791,17307,15201,8901,16477,16890,16229,18517,17986,13680,12667,1485,1977,4824,9278,17122,11182,5142,4105,3328,1949,3493,604,17079,9071,6005,8764,7042,17031,15935,7509,14355,3497,15298,7631,10458,7513,11746,18296,9219,15299,3516,7020,18091,1195,5510,4314,9728,18561,2141,12819,13986,18374,4997,2840,14492,11289,17239,3370,6888,3552,5121,14240,14528,18882,9601,13868,16812,15602,3784,5528,9545,11065,222,2079,4476,2409,2729,6635,14332,11819,12849,9333,7986,11577,6070,7113,5372,18441,13450
"6",1773,1350,9536,8215,12157,7434,8682,312,12883,8259,906,2538,6293,3716,7611,9343,8729,570,3506,11697,939,7431,4508,350,4234,12899,18881,9204,16125,8102,12234,9272,8449,18349,8676,12747,2607,11081,10416,14296,16067,1783,13506,13240,12340,7117,18590,12922,2666,2229,277,13757,2250,7388,718,7543,5802,2800,12943,707,736,7333,7355,6095,18183,5470,3896,6134,11700,124,8858,12229,5321,10212,15714,13903,18534,8417,8734,18097,5160,16598,6525,3109,7921,4473,4964,7713,16138,5662,18240,12875,5919,6921,5785,18767,6036,5054,4689,14772
"7",7980,5967,3979,17277,5221,9092,18412,16983,4457,13488,10038,12105,1423,6437,7061,13339,1270,5264,13366,6826,4518,318,17396,11815,8753,2520,8754,8255,2681,4082,1643,12788,1066,905,15636,414,12535,13446,649,6490,11284,16312,1042,7543,13221,10194,11279,16480,9732,7339,7029,18516,18511,14971,2795,3616,11623,14200,12407,14842,17364,8133,3758,17070,168,15126,9382,892,15744,16468,1908,14188,13895,12977,9253,15389,14168,13489,6159,6182,484,17908,7869,18908,12615,9590,6762,6457,15425,1862,10913,17186,993,16191,2693,6251,3912,16187,11901,12280
"8",6847,5006,17257,15241,1806,9548,7561,7518,7842,6593,18572,4192,18756,10310,6316,4461,1924,10042,17609,1424,10676,3230,13517,8538,2399,12124,17905,11896,8658,1201,6097,5470,12674,14009,17792,15228,3348,8446,16278,3154,17026,10719,8187,6920,2371,15682,18077,14683,8733,4021,13503,4153,4886,7390,16370,14549,14527,12029,5086,8139,7276,1449,8114,603,8609,5687,12463,16925,12765,2776,7483,16103,15606,199,15021,4112,4097,15194,839,137,8763,1045,10020,4590,4572,4208,8918,4654,17607,12875,11423,9915,16506,16009,12672,8784,12559,5543,13634,18486
"9",15267,16707,4671,14055,17766,8474,1273,18456,2732,18263,3547,14149,6476,3585,11964,11250,9212,5864,1743,11891,11979,14780,16557,7074,654,11247,16231,11123,6675,15828,14532,13325,8623,3495,3862,5707,7867,7052,2371,5929,7852,606,13405,974,15422,13733,10012,10669,16635,16451,4842,17668,13963,3587,10190,16188,5872,11832,15861,10808,3807,3720,17553,16221,2837,1497,15972,9122,775,11296,17749,1506,325,9066,18798,4637,6671,3860,6483,5889,12093,5103,11369,16868,7931,2091,14089,6622,13888,17383,17204,3323,7951,3693,18898,8952,1890,5859,1672,17219
"10",16241,8178,5346,921,4297,5512,9146,3617,1752,11419,13810,4909,15137,3225,6110,18723,16520,7068,14642,1295,14316,12636,3934,4286,13651,9928,5609,11129,15613,3586,5010,3571,6887,17000,2214,8488,5642,9281,11803,10269,10344,8463,1434,17320,1168,10684,6349,13883,12651,3115,4356,16671,3032,9756,1092,2202,16500,2478,3222,10797,16574,10805,11417,11818,15071,4293,8512,11329,9171,15100,8552,1689,16614,17589,2792,14580,8366,17462,2230,6424,10989,18919,8175,17251,7956,10544,10985,3400,18045,7572,13775,6831,6754,11884,12618,3961,7166,2155,17008,8527
