Назва задачі	Тривалість (годин)
Аналіз цільової аудиторії	
Аналіз схожих фільмів	16
Аналіз вподобань Українців	32
Аналіз анотацій постачальника	16
Вибір платформ просування	
Пошук дієвих типів реклами	16
Визначення кращих типів реклами по регіонах	8
Розробка креативної концепції	
Створення креативів	32
Затвердження креативів	4
Створення промо-матеріалів	
Дизайн картинок	40
Створення відео	64
Погодження промо-матеріалів	
Створення контент плану	
Налагодження платформ	
Створення сторінок в соціальних мережах	16
Укладання угод з платформами	32
Запуск реклами на платформах	24
Публікація промо-матеріалів	
Організація заходів	
Організація допрем’єрного показу	32
Організація прем’єри	56
Моніторинг ефективності	
Аналіз сторінок соціальних мереж	16
Аналіз переглядів на телебаченні	16
Аналіз активності в кінотеатрах	16
Підсумки за проєктом	
Звіт за бюджетом	8
Звіт з платформ	8
Фінальний звіт	8
