@relation weka.datagenerators.clusterers.BIRCHCluster-S_1_-a_10_-c_-k_4_-N_1..50_-R_0.1..1.41_-O

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute class {c0,c1,c2,c3}

@data
-0.171299,1.037855,2.999126,-0.273103,3.855154,3.799822,3.895081,4.082208,2.756963,0.086237,c0
0.534573,0.532459,3.652764,-0.221472,4.679075,4.693431,3.974558,4.360125,1.881982,0.954781,c0
0.504601,1.700823,4.060557,0.234413,3.384475,3.951423,3.676579,3.89447,2.020004,1.855392,c0
0.833688,1.475991,3.518868,0.238324,3.903561,3.702844,4.857738,3.582547,1.220318,1.49789,c0
0.655135,1.36492,4.299821,-0.499801,3.999068,4.244494,3.026184,4.262889,1.419554,1.696329,c0
1.534181,1.109815,3.523535,-0.615452,4.00444,4.011241,3.523834,3.723767,1.291328,1.448664,c0
1.184578,2.18254,4.026631,-0.07239,3.399077,4.134292,3.058576,4.231302,1.231967,0.437178,c0
0.764951,0.742619,4.307344,0.558519,3.906404,3.850415,4.284713,4.542829,1.427371,1.503807,c0
0.668568,1.650054,3.957645,0.309367,3.521598,4.039219,3.546836,4.319632,1.73749,1.117508,c0
0.273186,1.838983,3.237664,-0.83178,4.458189,3.42606,4.292173,3.409882,2.388583,0.049,c0
0.590209,2.160664,4.198944,0.440515,3.533933,4.185526,3.089418,3.601379,1.364525,1.229101,c0
1.675713,1.721837,4.032324,-0.6952,4.030744,3.853121,4.137131,3.424208,1.013889,1.292221,c0
1.355135,1.492933,4.314163,-0.607192,3.514134,3.364454,3.131667,3.319046,1.755735,1.5337,c0
0.518548,0.671968,3.811005,0.04626,3.541085,3.839908,4.222641,3.285145,1.273387,1.547005,c0
0.529349,0.787982,3.344323,0.174415,4.476627,3.789418,3.719186,3.542381,2.012146,2.113935,c0
1.358503,0.510215,4.023847,0.088351,3.184061,3.624542,4.2887,3.169157,1.747162,1.21723,c0
0.606761,0.463772,5.095643,0.573024,3.368963,4.275382,3.732662,4.345404,1.694216,1.356328,c0
0.877906,1.266924,4.199699,0.279892,3.737472,3.376275,4.084757,3.424331,2.185607,1.719625,c0
0.619739,1.577952,3.279651,0.364768,4.141235,4.158716,3.741626,3.28389,1.621998,2.154462,c0
