@relation MarketBasket

@attribute fruitveg {T,F}
@attribute  freshmeat {T,F}
@attribute dairy {T,F}
@attribute  cannedveg {T,F}
@attribute  cannedmeat {T,F}
@attribute  frozenmeal {T,F}
@attribute  beer {T,F}
@attribute  wine {T,F}
@attribute  softdrink {T,F}
@attribute  fish {T,F}
@attribute  confectionery {T,F}

@data
T,F,F,T,T,T,T,T,T,T,F
T,F,T,T,T,T,T,T,T,T,F
T,T,T,F,T,F,F,T,T,F,T
T,T,F,T,T,T,T,F,T,T,T
T,T,T,T,T,T,T,T,T,T,T
T,F,T,T,T,T,T,F,T,F,T
F,T,T,T,T,T,T,T,F,T,T
T,T,T,T,T,T,F,T,T,T,T
F,T,T,T,T,F,T,T,T,T,T
F,T,T,T,T,T,T,T,T,F,T
F,F,F,F,T,T,T,F,T,F,T
F,T,T,T,T,T,T,T,T,F,T
T,T,F,T,F,F,T,T,T,F,T
T,T,T,T,T,T,T,T,F,F,T
F,T,F,T,T,T,T,T,F,F,T
T,T,T,T,T,F,F,T,F,T,T
F,T,T,F,T,T,T,T,T,F,T
T,T,T,T,T,T,T,T,T,F,T
T,T,T,T,T,T,F,T,T,F,T
F,T,T,F,T,T,T,F,T,F,F
T,T,T,T,T,F,T,T,T,F,T
T,T,T,T,T,T,T,F,T,T,F
T,T,T,T,T,T,T,T,T,F,T
F,F,F,F,F,F,F,F,T,T,T
T,T,T,T,T,T,F,T,T,T,F
F,T,F,T,T,F,F,T,T,T,T
T,F,T,T,T,T,T,F,T,T,F
T,T,T,T,T,T,T,T,T,T,T
T,F,T,T,T,T,T,F,T,F,F
T,T,T,T,F,T,T,T,T,T,T
T,T,T,T,T,F,F,F,T,F,T
T,T,T,T,T,F,T,F,T,T,T
T,T,T,F,F,T,F,F,T,T,T
F,T,T,T,T,T,T,T,T,T,T
T,F,T,T,T,T,T,T,F,T,T
T,T,T,T,T,T,T,T,T,T,T
F,T,T,T,T,T,T,T,T,T,T
T,F,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,F,F
T,T,T,T,T,T,T,F,T,T,F
T,F,T,T,T,T,F,T,T,T,T
T,T,T,T,T,T,T,T,F,T,T
T,T,T,F,F,F,F,F,T,F,T
F,T,T,T,F,T,T,T,T,T,T
F,F,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,F,T,T,T
T,T,T,T,T,T,T,T,T,F,T
T,T,T,T,T,F,T,F,T,T,F
T,T,T,T,T,T,T,F,F,T,F
T,T,T,T,T,F,T,T,T,T,T
T,T,T,T,T,F,T,T,T,T,T
F,T,T,T,T,T,F,F,T,F,T
T,F,T,T,T,T,T,F,F,T,T
T,T,T,F,T,F,F,T,F,T,T
T,T,F,T,T,T,F,T,T,T,T
T,T,T,T,T,T,T,F,T,T,T
F,T,T,T,T,T,T,T,T,T,T
F,T,T,F,T,T,F,F,T,T,T
T,T,T,T,T,T,T,F,T,F,F
T,T,T,T,T,T,T,T,T,T,F
T,T,T,T,T,T,T,T,F,T,T
T,T,T,F,F,T,T,T,F,T,F
T,T,F,T,F,T,T,T,T,F,T
T,T,T,T,T,T,T,F,T,T,F
F,T,F,T,T,T,T,T,T,T,F
T,T,F,F,F,F,F,T,F,T,T
T,T,T,T,F,T,T,T,F,F,T
T,T,T,T,T,T,F,T,T,T,T
