id,noise,coef
1,2.5,0.07
2,3.8,0.07
3,3.8,0.09
4,3.8,0.15
5,6.3,0.15
6,6.3,0.18
7,4.6,0.1
8,8.6,0.28
9,4.6,0.15
10,7.7,0.23
11,6.5,0.22
12,10.2,0.27
13,4.6,0.18
14,8.4,0.26
15,8.5,0.27
16,8.4,0.18
17,3.7,0.05
18,8.5,0.28
19,5.5,0.1
20,4.3,0.08
21,11.1,0.3
22,5.3,0.08
23,5.5,0.15
24,10.1,0.24
25,5.7,0.15
26,4.9,0.17
27,10.3,0.27
28,7.9,0.24
29,2.7,0.06
30,2.3,0.05
31,6.5,0.18
32,5.7,0.12
33,4.7,0.2
34,8.5,0.22
35,5.5,0.11
36,4.6,0.11
37,8.8,0.3
38,8.5,0.27
39,5.8,0.16
40,7.6,0.22
41,3.7,0.04
42,6.5,0.17
43,6.7,0.18
44,11.3,0.31
45,10.3,0.29
46,6.3,0.16
47,8.6,0.31
48,13,0.34
49,10.2,0.26
50,12,0.35
51,5.7,0.17
52,10.3,0.30
53,5.5,0.1
54,3.4,0.03
55,7.9,0.24
56,4.9,0.18
57,10.3,0.28
58,4.6,0.09
59,8.4,0.27
60,8.5,0.29
