name,category,price,picture
DAF XF,Local,5000,daf-local
DAF XF,Lorry,7000,daf-red
Mercedes Actros 7,Lorry,6000,mercedes-actros-australia
Mercedes Actros 5,Lorry,6000,mercedes-actros-red
Mercedes Sprinter Offroad,Offroad,5000,mercedes-sprinter-offroad
Renault Master,Local,5000,renault-master-estonia
Renault Master,Local,5000,renault-master-mexico
Volvo FH 750,Lorry,6000,volvo-fh
Volvo VNL,Lorry,6000,volvo-vnl
Scania R500,Lorry,8000,scania-r500
Peterbuilt 500,Lorry,8000,peterbuilt-red
Peterbuilt 300,Lorry,5000,peterbuilt-old
